,Name,side 1,side 2,side 3,side 4,side 5 ,side 6,MU wins,MU draws,MU losses,MU win %,MU draw %,MU loss %,total win %,total draws %,total loss %
134,8/8/2/2/1/0,8,8,2,2,1,0,153,38,140,0.4622,0.1148,0.423,0.4459,0.1177,0.4365
135,8/8/3/1/1/0,8,8,3,1,1,0,134,29,168,0.4048,0.0876,0.5076,0.4407,0.1186,0.4408
136,8/8/3/2/0/0,8,8,3,2,0,0,112,47,172,0.3384,0.142,0.5196,0.435,0.1191,0.446
137,8/8/4/1/0/0,8,8,4,1,0,0,90,35,206,0.2719,0.1057,0.6224,0.4255,0.1204,0.4541
138,8/8/5/0/0/0,8,8,5,0,0,0,47,42,242,0.142,0.1269,0.7311,0.4064,0.1229,0.4706
139,9/3/3/2/2/2,9,3,3,2,2,2,219,18,94,0.6616,0.0544,0.284,0.5033,0.1093,0.3874
140,9/3/3/3/2/1,9,3,3,3,2,1,226,16,89,0.6828,0.0483,0.2689,0.4981,0.1103,0.3917
141,9/3/3/3/3/0,9,3,3,3,3,0,216,40,75,0.6526,0.1208,0.2266,0.4872,0.1117,0.4011
142,9/4/2/2/2/2,9,4,2,2,2,2,207,22,102,0.6254,0.0665,0.3082,0.499,0.1098,0.3912
143,9/4/3/2/2/1,9,4,3,2,2,1,218,18,95,0.6586,0.0544,0.287,0.4938,0.1107,0.3955
144,9/4/3/3/1/1,9,4,3,3,1,1,216,29,86,0.6526,0.0876,0.2598,0.4886,0.1116,0.3998
145,9/4/3/3/2/0,9,4,3,3,2,0,215,34,82,0.6495,0.1027,0.2477,0.4829,0.1121,0.405
146,9/4/4/2/1/1,9,4,4,2,1,1,206,28,97,0.6224,0.0846,0.2931,0.4843,0.11199999999999999,0.4037
147,9/4/4/2/2/0,9,4,4,2,2,0,210,34,87,0.6344,0.1027,0.2628,0.4786,0.1125,0.4089
148,9/4/4/3/1/0,9,4,4,3,1,0,209,27,95,0.6314,0.0816,0.287,0.4734,0.1135,0.4131
149,9/4/4/4/0/0,9,4,4,4,0,0,174,51,106,0.5257,0.1541,0.3202,0.4582,0.1153,0.4265
150,9/5/2/2/2/1,9,5,2,2,2,1,200,24,107,0.6042,0.0725,0.3233,0.4856,0.1118,0.4026
151,9/5/3/2/1/1,9,5,3,2,1,1,200,22,109,0.6042,0.0665,0.3293,0.4804,0.1127,0.4068
152,9/5/3/2/2/0,9,5,3,2,2,0,205,19,107,0.6193,0.0574,0.3233,0.4747,0.1132,0.4121
153,9/5/3/3/1/0,9,5,3,3,1,0,192,38,101,0.5801,0.1148,0.3051,0.4695,0.1141,0.4163
154,9/5/4/1/1/1,9,5,4,1,1,1,179,33,119,0.5408,0.0997,0.3595,0.47100000000000003,0.114,0.415
155,9/5/4/2/1/0,9,5,4,2,1,0,176,39,116,0.5317,0.1178,0.3505,0.4653,0.1146,0.4202
156,9/5/4/3/0/0,9,5,4,3,0,0,161,50,120,0.4864,0.1511,0.3625,0.4543,0.11599999999999999,0.4297
157,9/5/5/1/1/0,9,5,5,1,1,0,152,31,148,0.4592,0.0937,0.4471,0.4519,0.1166,0.4315
158,9/5/5/2/0/0,9,5,5,2,0,0,124,58,149,0.3746,0.1752,0.4502,0.4462,0.1171,0.4367
159,9/6/2/2/1/1,9,6,2,2,1,1,185,30,116,0.5589,0.0906,0.3505,0.4691,0.1144,0.4165
160,9/6/2/2/2/0,9,6,2,2,2,0,182,26,123,0.5498,0.0785,0.3716,0.4634,0.1149,0.4217
161,9/6/3/1/1/1,9,6,3,1,1,1,173,29,129,0.5227,0.0876,0.3897,0.4639,0.1153,0.4208
162,9/6/3/2/1/0,9,6,3,2,1,0,166,36,129,0.5015,0.1088,0.3897,0.4582,0.1158,0.426
163,9/6/3/3/0/0,9,6,3,3,0,0,131,61,139,0.3958,0.1843,0.4199,0.4473,0.1172,0.4355
164,9/6/4/1/1/0,9,6,4,1,1,0,143,26,162,0.43200000000000005,0.0785,0.4894,0.4487,0.1172,0.4341
165,9/6/4/2/0/0,9,6,4,2,0,0,110,44,177,0.3323,0.1329,0.5347,0.44299999999999995,0.1177,0.4393
166,9/6/5/1/0/0,9,6,5,1,0,0,99,38,194,0.2991,0.1148,0.5861,0.4297,0.1197,0.4507
167,9/6/6/0/0/0,9,6,6,0,0,0,49,51,231,0.14800000000000002,0.1541,0.6979,0.4074,0.1228,0.4698
168,9/7/2/1/1/1,9,7,2,1,1,1,166,20,145,0.5015,0.0604,0.4381,0.45,0.1177,0.4324
169,9/7/2/2/1/0,9,7,2,2,1,0,153,30,148,0.4622,0.0906,0.4471,0.4443,0.1182,0.4376
170,9/7/3/1/1/0,9,7,3,1,1,0,135,24,172,0.4079,0.0725,0.5196,0.4391,0.1191,0.4418
171,9/7/3/2/0/0,9,7,3,2,0,0,107,42,182,0.3233,0.1269,0.5498,0.4334,0.1196,0.447
172,9/7/4/1/0/0,9,7,4,1,0,0,86,34,211,0.2598,0.1027,0.6375,0.4239,0.1209,0.4552
173,9/7/5/0/0/0,9,7,5,0,0,0,38,46,247,0.1148,0.139,0.7462,0.4048,0.1234,0.4717
174,9/8/1/1/1/1,9,8,1,1,1,1,121,51,159,0.3656,0.1541,0.4804,0.4289,0.1213,0.4498
175,9/8/2/1/1/0,9,8,2,1,1,0,115,30,186,0.3474,0.0906,0.5619,0.4232,0.1218,0.455
176,9/8/2/2/0/0,9,8,2,2,0,0,89,50,192,0.2689,0.1511,0.5801,0.4175,0.1223,0.4602
177,9/8/3/1/0/0,9,8,3,1,0,0,80,25,226,0.2417,0.0755,0.6828,0.4123,0.1232,0.4645
178,9/8/4/0/0/0,9,8,4,0,0,0,34,29,268,0.1027,0.0876,0.8097,0.3971,0.125,0.4778
179,9/9/1/1/1/0,9,9,1,1,1,0,103,15,213,0.3112,0.0453,0.6435,0.4006,0.1259,0.4736
180,9/9/2/1/0/0,9,9,2,1,0,0,70,26,235,0.2115,0.0785,0.71,0.3948,0.1264,0.4788
181,9/9/3/0/0/0,9,9,3,0,0,0,33,21,277,0.0997,0.0634,0.8369,0.3839,0.1278,0.4883
182,10/3/2/2/2/2,10,3,2,2,2,2,206,5,120,0.6224,0.0151,0.3625,0.4847,0.1126,0.4027
183,10/3/3/2/2/1,10,3,3,2,2,1,201,18,112,0.6073,0.0544,0.3384,0.4795,0.1135,0.4069
184,10/3/3/3/1/1,10,3,3,3,1,1,196,26,109,0.5921,0.0785,0.3293,0.4743,0.1145,0.4112
185,10/3/3/3/2/0,10,3,3,3,2,0,197,25,109,0.5952,0.0755,0.3293,0.4686,0.115,0.4164
186,10/4/2/2/2/1,10,4,2,2,2,1,192,15,124,0.5801,0.0453,0.3746,0.4752,0.114,0.4108
187,10/4/3/2/1/1,10,4,3,2,1,1,186,24,121,0.5619,0.0725,0.3656,0.47,0.1149,0.4151
188,10/4/3/2/2/0,10,4,3,2,2,0,191,26,114,0.5770000000000001,0.0785,0.3444,0.4643,0.1154,0.4203
189,10/4/3/3/1/0,10,4,3,3,1,0,185,25,121,0.5589,0.0755,0.3656,0.4591,0.1163,0.4246
190,10/4/4/1/1/1,10,4,4,1,1,1,169,28,134,0.5106,0.0846,0.4048,0.4606,0.1162,0.4232
191,10/4/4/2/1/0,10,4,4,2,1,0,167,30,134,0.5045,0.0906,0.4048,0.4549,0.1167,0.4284
192,10/4/4/3/0/0,10,4,4,3,0,0,147,45,139,0.4441,0.136,0.4199,0.4439,0.1182,0.4379
193,10/5/2/2/1/1,10,5,2,2,1,1,171,29,131,0.5166,0.0876,0.3958,0.4619,0.11599999999999999,0.4221
194,10/5/2/2/2/0,10,5,2,2,2,0,171,24,136,0.5166,0.0725,0.4109,0.4562,0.1165,0.4273
195,10/5/3/1/1/1,10,5,3,1,1,1,162,27,142,0.4894,0.0816,0.429,0.4567,0.1169,0.4264
196,10/5/3/2/1/0,10,5,3,2,1,0,156,31,144,0.4713,0.0937,0.435,0.451,0.1174,0.4316
197,10/5/3/3/0/0,10,5,3,3,0,0,127,53,151,0.3837,0.1601,0.4562,0.4401,0.1188,0.4411
198,10/5/4/1/1/0,10,5,4,1,1,0,135,25,171,0.4079,0.0755,0.5166,0.4415,0.1187,0.4397
199,10/5/4/2/0/0,10,5,4,2,0,0,109,44,178,0.3293,0.1329,0.5378,0.4358,0.1193,0.4449
200,10/5/5/1/0/0,10,5,5,1,0,0,86,44,201,0.2598,0.1329,0.6073,0.4225,0.1213,0.4563
201,10/6/2/1/1/1,10,6,2,1,1,1,158,20,153,0.4773,0.0604,0.4622,0.4454,0.1186,0.4361
202,10/6/2/2/1/0,10,6,2,2,1,0,141,32,158,0.426,0.0967,0.4773,0.4397,0.1191,0.4413
203,10/6/3/1/1/0,10,6,3,1,1,0,124,29,178,0.3746,0.0876,0.5378,0.4345,0.12,0.4455
204,10/6/3/2/0/0,10,6,3,2,0,0,100,36,195,0.3021,0.1088,0.5891,0.4288,0.1205,0.4507
205,10/6/4/1/0/0,10,6,4,1,0,0,79,32,220,0.2387,0.0967,0.6647,0.4193,0.1219,0.4589
206,10/6/5/0/0/0,10,6,5,0,0,0,34,40,257,0.1027,0.1208,0.7764,0.4002,0.1244,0.4754
207,10/7/1/1/1/1,10,7,1,1,1,1,125,39,167,0.3776,0.1178,0.5045,0.4262,0.1219,0.4519
208,10/7/2/1/1/0,10,7,2,1,1,0,110,35,186,0.3323,0.1057,0.5619,0.4205,0.1224,0.4571
209,10/7/2/2/0/0,10,7,2,2,0,0,87,42,202,0.2628,0.1269,0.6103,0.4148,0.1229,0.4623
210,10/7/3/1/0/0,10,7,3,1,0,0,72,30,229,0.2175,0.0906,0.6918,0.4096,0.1238,0.4666
211,10/7/4/0/0/0,10,7,4,0,0,0,29,25,277,0.0876,0.0755,0.8369,0.3944,0.1256,0.4799
212,10/8/1/1/1/0,10,8,1,1,1,0,99,17,215,0.2991,0.0514,0.6495,0.3995,0.126,0.4746
213,10/8/2/1/0/0,10,8,2,1,0,0,67,23,241,0.2024,0.0695,0.7281,0.3938,0.1265,0.4798
214,10/8/3/0/0/0,10,8,3,0,0,0,30,19,282,0.0906,0.0574,0.852,0.3828,0.1279,0.4893
215,10/9/1/1/0/0,10,9,1,1,0,0,56,25,250,0.1692,0.0755,0.7553,0.3711,0.1306,0.4983
216,10/9/2/0/0/0,10,9,2,0,0,0,27,16,288,0.0816,0.0483,0.8701,0.3654,0.1311,0.5035
217,10/10/1/0/0/0,10,10,1,0,0,0,23,9,299,0.0695,0.0272,0.9033,0.3416,0.1353,0.5231
218,11/2/2/2/2/2,11,2,2,2,2,2,196,7,128,0.5921,0.0211,0.3867,0.4652,0.1162,0.4186
219,11/3/2/2/2/1,11,3,2,2,2,1,178,24,129,0.5378,0.0725,0.3897,0.46,0.1172,0.4229
220,11/3/3/2/1/1,11,3,3,2,1,1,174,17,140,0.5257,0.0514,0.423,0.4548,0.1181,0.4272
221,11/3/3/2/2/0,11,3,3,2,2,0,173,27,131,0.5227,0.0816,0.3958,0.4491,0.1186,0.4324
222,11/3/3/3/1/0,11,3,3,3,1,0,164,26,141,0.4955,0.0785,0.426,0.4439,0.1195,0.4366
223,11/4/2/2/1/1,11,4,2,2,1,1,160,25,146,0.4834,0.0755,0.4411,0.4505,0.1185,0.431
224,11/4/2/2/2/0,11,4,2,2,2,0,161,25,145,0.4864,0.0755,0.4381,0.4448,0.11900000000000001,0.4362
225,11/4/3/1/1/1,11,4,3,1,1,1,151,26,154,0.4562,0.0785,0.4653,0.4453,0.1194,0.4353
226,11/4/3/2/1/0,11,4,3,2,1,0,146,33,152,0.4411,0.0997,0.4592,0.4396,0.1199,0.4405
227,11/4/3/3/0/0,11,4,3,3,0,0,122,45,164,0.3686,0.136,0.4955,0.4287,0.1213,0.45
228,11/4/4/1/1/0,11,4,4,1,1,0,124,25,182,0.3746,0.0755,0.5498,0.4301,0.1213,0.4486
229,11/4/4/2/0/0,11,4,4,2,0,0,102,47,182,0.3082,0.142,0.5498,0.4244,0.1218,0.4538
230,11/5/2/1/1/1,11,5,2,1,1,1,144,22,165,0.435,0.0665,0.4985,0.4371,0.1205,0.4423
231,11/5/2/2/1/0,11,5,2,2,1,0,134,24,173,0.4048,0.0725,0.5227,0.4314,0.121,0.4475
232,11/5/3/1/1/0,11,5,3,1,1,0,117,23,191,0.3535,0.0695,0.5770000000000001,0.4262,0.1219,0.4518
233,11/5/3/2/0/0,11,5,3,2,0,0,95,36,200,0.287,0.1088,0.6042,0.4205,0.1224,0.457
234,11/5/4/1/0/0,11,5,4,1,0,0,76,31,224,0.2296,0.0937,0.6767,0.41100000000000003,0.1238,0.4652
235,11/5/5/0/0/0,11,5,5,0,0,0,36,28,267,0.1088,0.0846,0.8066,0.392,0.1263,0.4817
236,11/6/1/1/1/1,11,6,1,1,1,1,120,39,172,0.3625,0.1178,0.5196,0.4206,0.1231,0.4563
237,11/6/2/1/1/0,11,6,2,1,1,0,99,36,196,0.2991,0.1088,0.5921,0.4149,0.1236,0.4615
238,11/6/2/2/0/0,11,6,2,2,0,0,81,36,214,0.2447,0.1088,0.6465,0.4092,0.1241,0.4667
239,11/6/3/1/0/0,11,6,3,1,0,0,67,25,239,0.2024,0.0755,0.7221,0.40399999999999997,0.125,0.47100000000000003
240,11/6/4/0/0/0,11,6,4,0,0,0,28,25,278,0.0846,0.0755,0.8399,0.3888,0.1269,0.4843
241,11/7/1/1/1/0,11,7,1,1,1,0,89,24,218,0.2689,0.0725,0.6586,0.3958,0.1269,0.4773
242,11/7/2/1/0/0,11,7,2,1,0,0,64,17,250,0.1934,0.0514,0.7553,0.3901,0.1274,0.4825
243,11/7/3/0/0/0,11,7,3,0,0,0,27,20,284,0.0816,0.0604,0.858,0.3792,0.1288,0.49200000000000005
244,11/8/1/1/0/0,11,8,1,1,0,0,52,23,256,0.1571,0.0695,0.7734,0.369,0.131,0.5
245,11/8/2/0/0/0,11,8,2,0,0,0,27,16,288,0.0816,0.0483,0.8701,0.3633,0.1315,0.5052
246,11/9/1/0/0/0,11,9,1,0,0,0,22,14,295,0.0665,0.0423,0.8912,0.3406,0.1356,0.5237
