sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[7, 6, 6, 1, 1, 0]	159.0	44.0	114.0	50.157%	13.880%	35.962%	5208.0	1292.0	4912.0	45.636%	11.321%	43.042%	
[7, 6, 6, 2, 0, 0]	155.0	51.0	111.0	48.895%	16.088%	35.015%	5189.0	1252.0	4971.0	45.469%	10.970%	43.559%	
[7, 7, 2, 2, 2, 1]	204.0	22.0	91.0	64.353%	6.9400%	28.706%	5520.0	1297.0	4595.0	48.370%	11.365%	40.264%	
[7, 7, 3, 2, 1, 1]	201.0	27.0	89.0	63.406%	8.5173%	28.075%	5461.0	1305.0	4646.0	47.853%	11.435%	40.711%	
[7, 7, 3, 2, 2, 0]	207.0	30.0	80.0	65.299%	9.4637%	25.236%	5442.0	1265.0	4705.0	47.686%	11.084%	41.228%	
[7, 7, 3, 3, 1, 0]	195.0	45.0	77.0	61.514%	14.195%	24.290%	5383.0	1273.0	4756.0	47.169%	11.154%	41.675%	
[7, 7, 4, 1, 1, 1]	181.0	35.0	101.0	57.097%	11.041%	31.861%	5351.0	1319.0	4742.0	46.889%	11.558%	41.552%	
[7, 7, 4, 2, 1, 0]	177.0	45.0	95.0	55.835%	14.195%	29.968%	5332.0	1279.0	4801.0	46.722%	11.207%	42.069%	
[7, 7, 4, 3, 0, 0]	161.0	72.0	84.0	50.788%	22.712%	26.498%	5254.0	1247.0	4911.0	46.039%	10.927%	43.033%	
[7, 7, 5, 1, 1, 0]	156.0	36.0	125.0	49.211%	11.356%	39.432%	5177.0	1300.0	4935.0	45.364%	11.391%	43.243%	
[7, 7, 5, 2, 0, 0]	137.0	67.0	113.0	43.217%	21.135%	35.646%	5158.0	1260.0	4994.0	45.198%	11.041%	43.760%	
[7, 7, 6, 1, 0, 0]	110.0	46.0	161.0	34.700%	14.511%	50.788%	4965.0	1288.0	5159.0	43.506%	11.286%	45.206%	
[7, 7, 7, 0, 0, 0]	41.0	99.0	177.0	12.933%	31.230%	55.835%	4722.0	1284.0	5406.0	41.377%	11.251%	47.371%	
[8, 3, 3, 3, 2, 2]	228.0	14.0	75.0	71.924%	4.4164%	23.659%	5837.0	1254.0	4321.0	51.147%	10.988%	37.863%	
[8, 3, 3, 3, 3, 1]	236.0	17.0	64.0	74.447%	5.3627%	20.189%	5778.0	1262.0	4372.0	50.630%	11.058%	38.310%	
[8, 4, 3, 2, 2, 2]	222.0	18.0	77.0	70.031%	5.6782%	24.290%	5786.0	1260.0	4366.0	50.701%	11.041%	38.257%	
[8, 4, 3, 3, 2, 1]	230.0	19.0	68.0	72.555%	5.9936%	21.451%	5727.0	1268.0	4417.0	50.184%	11.111%	38.704%	
[8, 4, 3, 3, 3, 0]	230.0	24.0	63.0	72.555%	7.5709%	19.873%	5649.0	1236.0	4527.0	49.500%	10.830%	39.668%	
[8, 4, 4, 2, 2, 1]	219.0	27.0	71.0	69.085%	8.5173%	22.397%	5676.0	1274.0	4462.0	49.737%	11.163%	39.099%	
[8, 4, 4, 3, 1, 1]	224.0	27.0	66.0	70.662%	8.5173%	20.820%	5617.0	1282.0	4513.0	49.220%	11.233%	39.546%	
[8, 4, 4, 3, 2, 0]	229.0	24.0	64.0	72.239%	7.5709%	20.189%	5598.0	1242.0	4572.0	49.053%	10.883%	40.063%	
[8, 4, 4, 4, 1, 0]	219.0	35.0	63.0	69.085%	11.041%	19.873%	5488.0	1256.0	4668.0	48.089%	11.005%	40.904%	
[8, 5, 2, 2, 2, 2]	202.0	41.0	74.0	63.722%	12.933%	23.343%	5690.0	1273.0	4449.0	49.859%	11.154%	38.985%	
[8, 5, 3, 2, 2, 1]	208.0	37.0	72.0	65.615%	11.671%	22.712%	5631.0	1281.0	4500.0	49.342%	11.225%	39.432%	
[8, 5, 3, 3, 1, 1]	211.0	34.0	72.0	66.561%	10.725%	22.712%	5572.0	1289.0	4551.0	48.825%	11.295%	39.879%	
[8, 5, 3, 3, 2, 0]	225.0	22.0	70.0	70.977%	6.9400%	22.082%	5553.0	1249.0	4610.0	48.659%	10.944%	40.396%	
[8, 5, 4, 2, 1, 1]	206.0	27.0	84.0	64.984%	8.5173%	26.498%	5521.0	1295.0	4596.0	48.378%	11.347%	40.273%	
[8, 5, 4, 2, 2, 0]	210.0	38.0	69.0	66.246%	11.987%	21.766%	5502.0	1255.0	4655.0	48.212%	10.997%	40.790%	
[8, 5, 4, 3, 1, 0]	208.0	44.0	65.0	65.615%	13.880%	20.504%	5443.0	1263.0	4706.0	47.695%	11.067%	41.237%	
[8, 5, 4, 4, 0, 0]	184.0	45.0	88.0	58.044%	14.195%	27.760%	5314.0	1237.0	4861.0	46.565%	10.839%	42.595%	
[8, 5, 5, 1, 1, 1]	185.0	38.0	94.0	58.359%	11.987%	29.652%	5366.0	1316.0	4730.0	47.020%	11.531%	41.447%	
[8, 5, 5, 2, 1, 0]	184.0	49.0	84.0	58.044%	15.457%	26.498%	5347.0	1276.0	4789.0	46.854%	11.181%	41.964%	
[8, 5, 5, 3, 0, 0]	173.0	64.0	80.0	54.574%	20.189%	25.236%	5269.0	1244.0	4899.0	46.170%	10.900%	42.928%	
