sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[8, 8, 3, 2, 0, 0]	112.0	47.0	172.0	33.836%	14.199%	51.963%	5183.0	1419.0	5314.0	43.496%	11.908%	44.595%	
[8, 8, 4, 1, 0, 0]	90.0	35.0	206.0	27.190%	10.574%	62.235%	5070.0	1435.0	5411.0	42.547%	12.042%	45.409%	
[8, 8, 5, 0, 0, 0]	47.0	42.0	242.0	14.199%	12.688%	73.111%	4843.0	1465.0	5608.0	40.642%	12.294%	47.062%	
[9, 3, 3, 2, 2, 2]	219.0	18.0	94.0	66.163%	5.4380%	28.398%	5997.0	1303.0	4616.0	50.327%	10.934%	38.737%	
[9, 3, 3, 3, 2, 1]	226.0	16.0	89.0	68.277%	4.8338%	26.888%	5935.0	1314.0	4667.0	49.806%	11.027%	39.165%	
[9, 3, 3, 3, 3, 0]	216.0	40.0	75.0	65.256%	12.084%	22.658%	5805.0	1331.0	4780.0	48.716%	11.169%	40.114%	
[9, 4, 2, 2, 2, 2]	207.0	22.0	102.0	62.537%	6.6465%	30.815%	5946.0	1308.0	4662.0	49.899%	10.976%	39.123%	
[9, 4, 3, 2, 2, 1]	218.0	18.0	95.0	65.861%	5.4380%	28.700%	5884.0	1319.0	4713.0	49.378%	11.069%	39.551%	
[9, 4, 3, 3, 1, 1]	216.0	29.0	86.0	65.256%	8.7613%	25.981%	5822.0	1330.0	4764.0	48.858%	11.161%	39.979%	
[9, 4, 3, 3, 2, 0]	215.0	34.0	82.0	64.954%	10.271%	24.773%	5754.0	1336.0	4826.0	48.288%	11.211%	40.500%	
[9, 4, 4, 2, 1, 1]	206.0	28.0	97.0	62.235%	8.4592%	29.305%	5771.0	1335.0	4810.0	48.430%	11.203%	40.365%	
[9, 4, 4, 2, 2, 0]	210.0	34.0	87.0	63.444%	10.271%	26.283%	5703.0	1341.0	4872.0	47.860%	11.253%	40.886%	
[9, 4, 4, 3, 1, 0]	209.0	27.0	95.0	63.141%	8.1570%	28.700%	5641.0	1352.0	4923.0	47.339%	11.346%	41.314%	
[9, 4, 4, 4, 0, 0]	174.0	51.0	106.0	52.567%	15.407%	32.024%	5460.0	1374.0	5082.0	45.820%	11.530%	42.648%	
[9, 5, 2, 2, 2, 1]	200.0	24.0	107.0	60.422%	7.2507%	32.326%	5787.0	1332.0	4797.0	48.564%	11.178%	40.256%	
[9, 5, 3, 2, 1, 1]	200.0	22.0	109.0	60.422%	6.6465%	32.930%	5725.0	1343.0	4848.0	48.044%	11.270%	40.684%	
[9, 5, 3, 2, 2, 0]	205.0	19.0	107.0	61.933%	5.7401%	32.326%	5657.0	1349.0	4910.0	47.473%	11.320%	41.205%	
[9, 5, 3, 3, 1, 0]	192.0	38.0	101.0	58.006%	11.480%	30.513%	5595.0	1360.0	4961.0	46.953%	11.413%	41.633%	
[9, 5, 4, 1, 1, 1]	179.0	33.0	119.0	54.078%	9.9697%	35.951%	5612.0	1359.0	4945.0	47.096%	11.404%	41.498%	
[9, 5, 4, 2, 1, 0]	176.0	39.0	116.0	53.172%	11.782%	35.045%	5544.0	1365.0	5007.0	46.525%	11.455%	42.019%	
[9, 5, 4, 3, 0, 0]	161.0	50.0	120.0	48.640%	15.105%	36.253%	5414.0	1382.0	5120.0	45.434%	11.597%	42.967%	
[9, 5, 5, 1, 1, 0]	152.0	31.0	148.0	45.921%	9.3655%	44.712%	5385.0	1389.0	5142.0	45.191%	11.656%	43.152%	
[9, 5, 5, 2, 0, 0]	124.0	58.0	149.0	37.462%	17.522%	45.015%	5317.0	1395.0	5204.0	44.620%	11.706%	43.672%	
[9, 6, 2, 2, 1, 1]	185.0	30.0	116.0	55.891%	9.0634%	35.045%	5590.0	1363.0	4963.0	46.911%	11.438%	41.649%	
[9, 6, 2, 2, 2, 0]	182.0	26.0	123.0	54.984%	7.8549%	37.160%	5522.0	1369.0	5025.0	46.341%	11.488%	42.170%	
[9, 6, 3, 1, 1, 1]	173.0	29.0	129.0	52.265%	8.7613%	38.972%	5528.0	1374.0	5014.0	46.391%	11.530%	42.077%	
[9, 6, 3, 2, 1, 0]	166.0	36.0	129.0	50.151%	10.876%	38.972%	5460.0	1380.0	5076.0	45.820%	11.581%	42.598%	
[9, 6, 3, 3, 0, 0]	131.0	61.0	139.0	39.577%	18.429%	41.993%	5330.0	1397.0	5189.0	44.729%	11.723%	43.546%	
[9, 6, 4, 1, 1, 0]	143.0	26.0	162.0	43.202%	7.8549%	48.942%	5347.0	1396.0	5173.0	44.872%	11.715%	43.412%	
[9, 6, 4, 2, 0, 0]	110.0	44.0	177.0	33.232%	13.293%	53.474%	5279.0	1402.0	5235.0	44.301%	11.765%	43.932%	
[9, 6, 5, 1, 0, 0]	99.0	38.0	194.0	29.909%	11.480%	58.610%	5120.0	1426.0	5370.0	42.967%	11.967%	45.065%	
[9, 6, 6, 0, 0, 0]	49.0	51.0	231.0	14.803%	15.407%	69.788%	4855.0	1463.0	5598.0	40.743%	12.277%	46.978%	
[9, 7, 2, 1, 1, 1]	166.0	20.0	145.0	50.151%	6.0422%	43.806%	5362.0	1402.0	5152.0	44.998%	11.765%	43.235%	
[9, 7, 2, 2, 1, 0]	153.0	30.0	148.0	46.223%	9.0634%	44.712%	5294.0	1408.0	5214.0	44.427%	11.816%	43.756%	
[9, 7, 3, 1, 1, 0]	135.0	24.0	172.0	40.785%	7.2507%	51.963%	5232.0	1419.0	5265.0	43.907%	11.908%	44.184%	
[9, 7, 3, 2, 0, 0]	107.0	42.0	182.0	32.326%	12.688%	54.984%	5164.0	1425.0	5327.0	43.336%	11.958%	44.704%	
[9, 7, 4, 1, 0, 0]	86.0	34.0	211.0	25.981%	10.271%	63.746%	5051.0	1441.0	5424.0	42.388%	12.092%	45.518%	
[9, 7, 5, 0, 0, 0]	38.0	46.0	247.0	11.480%	13.897%	74.622%	4824.0	1471.0	5621.0	40.483%	12.344%	47.171%	
[9, 8, 1, 1, 1, 1]	121.0	51.0	159.0	36.555%	15.407%	48.036%	5111.0	1445.0	5360.0	42.891%	12.126%	44.981%	
[9, 8, 2, 1, 1, 0]	115.0	30.0	186.0	34.743%	9.0634%	56.193%	5043.0	1451.0	5422.0	42.321%	12.176%	45.501%	
[9, 8, 2, 2, 0, 0]	89.0	50.0	192.0	26.888%	15.105%	58.006%	4975.0	1457.0	5484.0	41.750%	12.227%	46.022%	
