Matchup	Value
[14, 3, 3, 1, 0, 0]	-10
[14, 4, 1, 1, 1, 0]	-12
[14, 4, 2, 1, 0, 0]	-9
[14, 4, 3, 0, 0, 0]	-6
[14, 5, 1, 1, 0, 0]	-8
[14, 5, 2, 0, 0, 0]	-5
[14, 6, 1, 0, 0, 0]	-4
[14, 7, 0, 0, 0, 0]	+0
[15, 2, 1, 1, 1, 1]	-15
[15, 2, 2, 1, 1, 0]	-12
[15, 2, 2, 2, 0, 0]	-9
[15, 3, 1, 1, 1, 0]	-12
[15, 3, 2, 1, 0, 0]	-9
[15, 3, 3, 0, 0, 0]	-6
[15, 4, 1, 1, 0, 0]	-8
[15, 4, 2, 0, 0, 0]	-5
[15, 5, 1, 0, 0, 0]	-4
[15, 6, 0, 0, 0, 0]	+0
[16, 1, 1, 1, 1, 1]	-14
[16, 2, 1, 1, 1, 0]	-11
[16, 2, 2, 1, 0, 0]	-8
[16, 3, 1, 1, 0, 0]	-8
[16, 3, 2, 0, 0, 0]	-5
[16, 4, 1, 0, 0, 0]	-4
[16, 5, 0, 0, 0, 0]	+0
[17, 1, 1, 1, 1, 0]	-10
[17, 2, 1, 1, 0, 0]	-7
[17, 2, 2, 0, 0, 0]	-4
[17, 3, 1, 0, 0, 0]	-4
[17, 4, 0, 0, 0, 0]	+0
[18, 1, 1, 1, 0, 0]	-6
[18, 2, 1, 0, 0, 0]	-3
[18, 3, 0, 0, 0, 0]	+0
[19, 1, 1, 0, 0, 0]	-3
[19, 2, 0, 0, 0, 0]	+0
[20, 1, 0, 0, 0, 0]	+0
[21, 0, 0, 0, 0, 0]	+4
